tweet_id,sentiment,author,content
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!
1956976312,sadness,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956976371,worry,babyxj,I need skott right now
1956977084,happiness,ktierson,mmm much better day... so far! it's still quite early. last day of #uds
1956977187,happiness,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
1956977618,worry,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
1956977624,worry,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
1956978410,worry,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
1956978668,worry,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
1956979150,sadness,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
1956979900,worry,a_schmel,why am i so tired?
1956980972,worry,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad
1956982383,sadness,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
1956982449,worry,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!
1956982576,sadness,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
1956982605,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
1956983160,sadness,crittyjoy,@Pokinatcha  in all honesty...pain   blech.
1956983171,sadness,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1956983509,worry,heyitsmisti,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
1956983690,sadness,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
1956983851,worry,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
1956983874,happiness,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
1956984185,worry,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
1956984864,worry,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
1956985535,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
1956985612,worry,juliehuang,is sad that shin ae got married...and it wasn't to alex
1956985758,worry,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
1956985764,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
1956986211,sadness,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
1956986359,worry,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
1956986767,sadness,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1956987381,worry,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
1956987600,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956987828,worry,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
1956987904,worry,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today
1956987950,worry,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
1956988223,worry,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
1956989093,love,Angela_Grace,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
1956989514,sadness,yellowduckx,@sweeetnspicy hiii im on my ipod...i cant fall asleep
1956989526,sadness,KaKuBby,dont wanna work 11-830 tomorrow  but i get paid
1956989560,sadness,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1956989601,hate,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956989914,worry,Fowl2,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
1956990288,hate,MissPassion,@mrgenius23 You win ... SIGH Rakeem
1956990568,sadness,sarah_walter,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
1956990729,worry,marpizza,Oh no one minute too late! Oh well
1956991009,hate,rdyfrde,"@soviet_star Damn, that sucks"
1956991673,sadness,M0anique,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956991704,hate,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956991723,worry,briwyatt,ahh! big scary bug flying around my room!!!!!
1956992030,sadness,mafiaman8108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
1956992144,worry,Margotkay,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
1956995196,sadness,jnvelasquez912,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995762,sadness,foxtail84,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
1956996081,hate,snursalim,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
1956996385,love,votech,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
1956996470,worry,ohmygoshnina,"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."
1956996673,hate,Merekdavis,@britblackbird  youstinkatrespondingtotexts!
1956996730,sadness,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1956996765,happiness,rarmendariz,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
1956996776,sadness,KitaCupcake,Is miserable  i feel like im gona cry  sux!
1956997352,worry,1azylizzie,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
1956998370,love,rockinchick11,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1956998532,sadness,katienaas,*sigh* I'm going to bed... I just don't feel right anymore...
1956998704,sadness,sillynic,Now I am depressed after watching so you think you can dance
1957000040,sadness,minauderie,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"
1957000290,worry,Ohtybaby,"I cant sleep, but im too sore to move"
1957000788,worry,zpavic,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
1957001370,worry,katlovesjoelk,@omfgiselle i cant do anything
1957001854,happiness,Samiijoo,RIP leonardo. You were a great mini fiddler crab
1957002082,sadness,V0NST3V3,"Last day working for the Uni today, sad times"
1957002773,love,UncoolRockstar,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
1957002923,worry,indpndentgirly,My head hurts so bad I could scream!
1957003048,worry,rianne_kelsey,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
1957003356,worry,nettlej,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
1957003440,worry,autotips,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
1957004184,worry,rionne,oh men!!!!!!......I really can't see my face........c'mon guys!!!
1957004519,worry,asteinke,"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"
1957004606,worry,riannasc,my sole supporter is not my sole supporter
1957004749,hate,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
1957005165,worry,RebeccaBrunner,@Emilyyy16 urgh stop it guys
1957005226,sadness,GiselleLee,is still missing her husband.    I really want him home.
1957005279,sadness,PYTDavis,I miss my puppy
1957005696,happiness,nickhalme,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
1957005713,sadness,smilyross,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
1957005817,worry,JBabyLove,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
1957006033,sadness,klybob,@BarbSchaefer yearling in pet home died... very sad for their whole family
1957006098,worry,puelladei,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
1957006245,sadness,bella_facia,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."
1957006307,worry,ninz_0214,is feeling sad... for some reason..  http://plurk.com/p/wxji3
1957006547,sadness,spookychan,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
1957006674,sadness,nel5on,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
1957006947,worry,miiiiiiike,"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
1957007268,happiness,EmaMolly,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
1957007437,happiness,grrimadinox,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"
1957007633,sadness,IAmYourDensity,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
1957007981,worry,MunkyMunch,@jertronic it wont let me
1957008075,sadness,Inamint,Took a shift tomorrow.    I don't really feel like working right now.
1957008193,sadness,kimchiipanda,but now i have no money for a phone
1957008287,worry,KarlOnSea,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
1957008292,worry,RoseMarionTyler,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
1957008498,sadness,CathyDohling,Too bad the Red Devils.. disappointing to say the least
1957008802,sadness,pfak,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."
1957009454,worry,woahitsJana,"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"
1957009666,hate,wendyisastar,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957010072,worry,tiffalo,why are plane tickets so expensive
1957010329,happiness,NoteRobot,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957010415,worry,trina3mg,Needs a job BADLY!!!
1957011291,sadness,ABCeCe,@AlexanderGWhite daaammmnnnnn I do wish I was there.
1957011738,worry,ignoredt,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
1957012476,sadness,nickhalme,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
1957012769,sadness,ditzyfrenchfrys,is a bad friend
1957013166,hate,jupzchris,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
1957013723,hate,babygurl0791,would wish the severe migrains would stop!!! doc's prescriptions arent working
1957013804,love,jammmaster1021,@bobbyedner i missed the game
1957013885,sadness,debraladiva,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
1957013895,hate,kkjordan,@tiffalo cuz airlines are super lame.
1957013896,sadness,sigitt,@lenje - Still a pity it comes with no lamb though
1957014267,sadness,Karoli,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
1957014493,hate,Taynted_lyfe,I'm so very tired...and have insomnia.
1957014706,hate,butteredninja,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
1957015719,worry,dancingwithself,people in my house do not know how to close doors
1957016339,worry,R_nB,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
1957016697,sadness,fritoleva,Had to cancel wow for now
1957016818,worry,PnkRckGirl97,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
1957017164,sadness,RoxieDax,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
1957017177,worry,KCSuzy,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
1957017320,worry,xSpotlighted,@__sugar oh no  i am always here ;) &lt;3
1957017522,happiness,Davislb921,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
1957017595,happiness,c10gg3rgirl,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
1957018061,sadness,lsvdmbfan,Up late with nothin 2 do.....
1957018162,worry,leilanire,i think the vog is making me sicker than i think. feeling slightly achy
1957019034,worry,monkeylover96,i am doing homework it sux big time maths is the worst!!!!!!
1957019556,sadness,JMarmo13,sometimes i wish things could go back to the way they were the beginning of last summer
1957019715,worry,Mrs_Jackman,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
1957020180,sadness,ChickenNuggets,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
1957020385,happiness,itspaigepenales,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
1957020390,worry,Karmenyl,i'm sooooooooooooo confused
1957020624,worry,Tonysize,"Work day 7 of 7,"
1957020702,happiness,HD_Fury,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957021039,worry,Musti08,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
1957021305,sadness,AndyClaudine,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1957021486,hate,karissaferg,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1957022610,worry,leonperkin,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
1957023133,worry,AmyFuentes,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
1957023263,hate,youulovemee,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
1957023739,hate,Tin06,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
1957024334,worry,o0hmaig0d,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
1957025428,sadness,lungjen,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
1957026475,sadness,annamaurice,It's pissing me off and not letting me follow ericka
1957027495,sadness,FreddyS87,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957027630,sadness,CforrClemmensen,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
1957028775,worry,MllexCamelia,I have forgot the live with the Jonas Brothers on Facebook
1957028895,sadness,d0nnadean,I haven't seen Muffin in two whole days!
1957029111,sadness,InNoSenseLost,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
1957029641,worry,jocelleuntalan,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
1957030196,worry,SoSpoiledDatsMe,my twitter has been hacked again
1957030545,sadness,faddict,Just found mj mouse flats at DJs. Of course there are none left in my size
1957030622,hate,sharnanicole,@lanacaitlin  hahaha well its try its so ugly
1957031520,worry,Intel_Eric,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
1957031859,happiness,KylieMalchus,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
1957032228,sadness,tiffanylue,@xoshayzers i knoww  things won't be the samee &lt;/3
1957032539,worry,tweeterchic66,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
1957033043,happiness,carlysialevert,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
1957033103,worry,sjwilling,"Okay, so twitter suddenly changed, how do I respond to messages now"
1957033558,worry,Rossco_NZ,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
1957033776,sadness,vivianenguyen,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1957033874,hate,Lilixbabi3,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
1957033901,worry,ACjoint,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
1957034202,sadness,JohnnyFiction,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
1957034289,hate,kimba1bl,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
1957034566,sadness,mara_nerdgirl,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
1957035564,happiness,rondhi,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
1957035950,hate,geezitslouize,my roommate @tess_tickle loves to ignore me
1957038324,sadness,judez_xo,my teeth and head hurts
1957038398,sadness,christynnicole,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
1957038470,hate,No1PanicFan,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
1957038477,worry,LinksMommy,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
1957038763,worry,xxkxx07,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
1957038970,worry,melissacalderon,I need to be held...  Gnite.
1957039203,worry,megan_kelli,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
1957039456,sadness,trixbiscuits,no more arrested development. i am sad.
1957039894,sadness,TheNewBradie,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
1957039922,sadness,jmil1733,I feel so deflated. No more doggy.
1957039947,worry,Ennjo,@blood_rain i wanna see her hair  hows everyone?
1957040172,sadness,kourt_1023,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
1957040395,sadness,joe_uberkawaii,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
1957040988,sadness,xxkxx07,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
1957041569,worry,searchformatt,Aww...  Pray for the arroyo family everyone!
1957041745,sadness,ROBOKAWAII,Fuuudge. Movie store is closed
1957041767,sadness,courtneyyy3,ALO is so sad and quiet and empty tonight
1957041812,hate,MissxMarisa,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
1957041856,worry,Kgreenel,@wuzzyangel You never answered your DM I sent you....   I need your info...
1957042008,worry,kharise,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
1957042316,sadness,heartbeam,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
1957042474,worry,andimoonpie,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
1957042509,worry,thecareysisters,@jose3030 I didn't think anyone caught that
1957043226,sadness,lindseyrivera,Sad that Christian Lacroix had to file bankruptcy
1957043241,sadness,princessniki1,I dont feel good AT ALL. fuckkk
1957044680,worry,SomeThingTiny,looks like i'll never go to the zoo
1957044694,worry,ABabyBlueEyes,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
1957044789,worry,GothWab,@Moss1982 bad times?
1957044935,hate,helenmurdock,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
1957045395,sadness,DudeAsInCool,Have to go to the dreaded DMV tomorrow
1957045692,happiness,Fredrikkk,english class! working on interactive orals
1957045940,worry,dzgraphicdesign,@SharonHayes Thank you for the rec but that doesn't work
1957046090,worry,TweedyLynn,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
1957046631,worry,Atheprincez,I don't know how ima work out tomorrow wit my body dis sore  ugh
1957047569,worry,kilrturkey,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
1957047571,sadness,marissazaguirre,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
1957047787,worry,CherTwinkles,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
1957047828,worry,5Neezy,"Lady across the way had a miscarriage, say a prayer"
1957048027,sadness,imsoapee,God I just want to sleep.
1957048703,hate,JBMareMareJB,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
1957048870,worry,jmil1733,I feel so deflated. No more doggy.
1957049167,sadness,theangelicsin,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
1957050633,hate,STAR13R,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
1957050684,worry,Suemagoo01,is feeling bad  just got bad news about my Mum
1957050747,sadness,Nick_Myndflip,@RealBlackWidow But but I dun wanna
1957050890,sadness,queenbmakeup,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
1957051517,sadness,sloanquigley,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
1957052409,worry,divya084,don't feel like working  I think I tweet this too often!
1957052932,sadness,shaghayeghhh,feels sick to my stomach and idkk whyy
1957053170,worry,Tania_Satine,vineri...nimic special sau probabil un alt weekend pierdut...
1957053566,sadness,Anime81,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
1957055178,worry,dolphin8772,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
1957055530,hate,TK04,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
1957055981,happiness,montanaspeaks,FB is boring   and i wanna sing RIGHT NOW..! *-*
1957056027,sadness,joslinjewels,@judyrey  The link doesn't work
1957056896,worry,cadences,The humpalow um ya I think so... Cell is dying
1957057026,worry,omaroonie,Last day at work...Sick to the bone
1957057469,worry,ohsht,i feel like I'm on house arrest.
1957058219,worry,ecctv,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
1957058504,happiness,neovile,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
1957059348,sadness,chubbbie,my stupid tooooth hurts
1957059587,love,Pretty_Edgie,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
1957059917,sadness,MelissaWOOF,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
1957060439,worry,Aeonflux21,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
1957061418,worry,ashleeadams,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
1957061527,worry,morganis_21,my dog ran awayyy
1957061884,hate,caitimac,@all_is_one84 Those suck so bad.
1957062262,worry,Flergs,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
1957062676,worry,iamsarahkelley,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
1957062698,love,ShirleyValverde,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
1957062827,sadness,SamG2020,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
1957063783,hate,Craz_Monkay21,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
1957063845,sadness,nadanada,@Penguin_J heehee. i love you! i am tired.
1957064177,worry,q_ueenie,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo
1957064253,worry,katiebisson,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
1957064566,worry,Monica2112,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."
1957064575,sadness,barbieprincess,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
1957064908,sadness,Sh33na_C,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
1957066120,worry,bozackula,@charloro jealous  it looks like schindler's list in toronto
1957067988,sadness,whaaalian,@joiskol  being in your room makes me sad.
1957068229,worry,the1germ,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."
1957068880,sadness,GarageGlamorous,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
1957069453,sadness,charubhashini,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
1957070534,sadness,jjae725,@meljachin: eww. dislike
1957070786,worry,Jaydeyn,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.
1957071331,sadness,only1lucylocket,"@SuzyDunkley sorry bout the cat,"
1957072308,worry,heyisabelle_,my stomach feels like it's touching the ground..i'm SO full
1957072400,love,kaboyd5,Pug just woke me from an incredible sleep!
1957072637,love,destinyhope92,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
1957072682,worry,anticlothes,Sooo much work so little time
1957072896,sadness,Jsskkaa,missed iron chef
1957073073,sadness,iRoy,@thevowel the DS version sucks
1957073201,sadness,Katja112,what a bad day
1957073753,hate,imayami,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
1957073984,worry,GravesNovels,"Ugh, my internet was down!"
